,MIDI Note,Note,Octave,time,value
495270,38,D,3,3869,0.1252657213442837
495271,39,D#,3,3869,0.11458665610509211
495272,40,E,3,3869,0.12407634623712835
495273,41,F,3,3869,0.11801799022943944
495274,42,F#,3,3869,0.1027730811753529
495275,43,G,3,3869,0.10541356825646932
495276,44,G#,3,3869,0.1238944817623704
495277,45,A,3,3869,0.12236153221921113
495280,48,C,4,3869,0.11522664617824108
495281,49,C#,4,3869,0.14598371179312516
495282,50,D,4,3869,0.12324640519182169
495288,56,G#,4,3869,0.11447447136151383
495289,57,A,4,3869,0.10171257068264743
495296,64,E,5,3869,0.10362448402848674
495304,72,C,6,3869,0.17960008993613555
495305,73,C#,6,3869,0.13507240076514934
495307,75,D#,6,3869,0.10905101118726475
495308,76,E,6,3869,0.17303587482105998
495309,77,F,6,3869,0.10378886678341914
495324,92,G#,7,3869,0.11564903807944972
495396,36,C,3,3870,0.12827557804834014
495397,37,C#,3,3870,0.1530914611321693
495398,38,D,3,3870,0.14909954046300597
495399,39,D#,3,3870,0.13314872494577404
495400,40,E,3,3870,0.12992127650840266
495401,41,F,3,3870,0.1263886991054245
495402,42,F#,3,3870,0.10635782530571974
495404,44,G#,3,3870,0.14065502302935987
495405,45,A,3,3870,0.1359673152592606
495408,48,C,4,3870,0.1320156266411249
495409,49,C#,4,3870,0.16874607926481297
495410,50,D,4,3870,0.1513734633035819
495416,56,G#,4,3870,0.10852980090269027
495418,58,A#,4,3870,0.10585571752261054
495431,71,B,5,3870,0.11901677542006545
495434,74,D,6,3870,0.11445180320016123
495449,89,F,7,3870,0.1542727735113136
495523,35,B,2,3871,0.10294391850805283
495524,36,C,3,3871,0.14033561061123406
495525,37,C#,3,3871,0.16524518175160846
495526,38,D,3,3871,0.1583666098785039
495527,39,D#,3,3871,0.13522404151755688
495528,40,E,3,3871,0.11672733417740722
495529,41,F,3,3871,0.11846397266936282
495532,44,G#,3,3871,0.1344238329037373
495533,45,A,3,3871,0.13395467951226758
495536,48,C,4,3871,0.11203098806354521
495537,49,C#,4,3871,0.15025216662624816
495538,50,D,4,3871,0.10308306698555576
495539,51,D#,4,3871,0.12443833456899435
495547,59,B,4,3871,0.10808837313825656
495560,72,C,6,3871,0.11619375100669992
495561,73,C#,6,3871,0.13574911096675474
495577,89,F,7,3871,0.12081101309219798
495652,36,C,3,3872,0.14245861119772726
495653,37,C#,3,3872,0.1631104125896385
495654,38,D,3,3872,0.15064744294258534
495655,39,D#,3,3872,0.12244564919934335
495660,44,G#,3,3872,0.11000195929391823
495661,45,A,3,3872,0.11832423654085993
495665,49,C#,4,3872,0.11819067321255966
495667,51,D#,4,3872,0.11697140548344453
495668,52,E,4,3872,0.1133603283120803
495688,72,C,6,3872,0.10721627805804439
495700,84,C,7,3872,0.12678845815435813
495780,36,C,3,3873,0.13509440799230177
495781,37,C#,3,3873,0.14645471508887312
495782,38,D,3,3873,0.12697513986055542
495818,74,D,6,3873,0.10596845930607963
495828,84,C,7,3873,0.20949894477813122
495829,85,C#,7,3873,0.1827956411408814
495831,87,D#,7,3873,0.1060618546999182
495832,88,E,7,3873,0.12375808232237413
495908,36,C,3,3874,0.1199363849129283
495909,37,C#,3,3874,0.11782997601307048
495956,84,C,7,3874,0.1860856978437056
496036,36,C,3,3875,0.10048292577644502
496213,85,C#,7,3876,0.10356285571857922
496341,85,C#,7,3877,0.12181395387505355
496353,97,C#,8,3877,0.12738428473005883
496462,78,F#,6,3878,0.10918168692021456
496469,85,C#,7,3878,0.12970216454941133
496470,86,D,7,3878,0.12117479014021948
496547,35,B,2,3879,0.10602896720580215
496548,36,C,3,3879,0.11805886034917074
496674,34,A#,2,3880,0.10732076674124019
496675,35,B,2,3880,0.15251665727787753
496676,36,C,3,3880,0.16541785470873327
496677,37,C#,3,3880,0.1002031667563443
496683,43,G,3,3880,0.10218470782316794
496684,44,G#,3,3880,0.10547108194870608
496685,45,A,3,3880,0.10112436528356668
496801,33,A,2,3881,0.11518366825182574
496802,34,A#,2,3881,0.13630695212142294
496803,35,B,2,3881,0.1934124156910957
496804,36,C,3,3881,0.21374690941686494
496805,37,C#,3,3881,0.16486539430103533
496806,38,D,3,3881,0.15330165988092023
496807,39,D#,3,3881,0.13712098434746026
496808,40,E,3,3881,0.14449195302211373
496809,41,F,3,3881,0.12688747402403716
496811,43,G,3,3881,0.12136948349942726
496812,44,G#,3,3881,0.17588849747587432
496813,45,A,3,3881,0.1901729447973098
496814,46,A#,3,3881,0.1609507450243991
496815,47,B,3,3881,0.1306960398745288
496816,48,C,4,3881,0.14839106681303618
496817,49,C#,4,3881,0.16962957977097146
496818,50,D,4,3881,0.1715029716041504
496819,51,D#,4,3881,0.16127479879651024
496820,52,E,4,3881,0.1407656124468195
496821,53,F,4,3881,0.14344685730544096
496822,54,F#,4,3881,0.13767980466051472
496823,55,G,4,3881,0.12372281664485324
496824,56,G#,4,3881,0.11634144666436137
496825,57,A,4,3881,0.1032218209217951
496828,60,C,5,3881,0.10205525745207171
496929,33,A,2,3882,0.12778748533769563
496930,34,A#,2,3882,0.15833797970296615
496931,35,B,2,3882,0.22191898022261256
