,MIDI Note,Note,Octave,time,value
1248297,41,F,3,9752,0.16591183804335086
1248298,42,F#,3,9752,0.16738981465968059
1248299,43,G,3,9752,0.17297984077217188
1248300,44,G#,3,9752,0.14556422074632266
1248301,45,A,3,9752,0.10632522435989654
1248302,46,A#,3,9752,0.12110502465248806
1248306,50,D,4,9752,0.15132894586859794
1248307,51,D#,4,9752,0.15721579832813762
1248308,52,E,4,9752,0.1499367077294962
1248309,53,F,4,9752,0.21943678023610272
1248310,54,F#,4,9752,0.2750316022507635
1248311,55,G,4,9752,0.19574046889216157
1248313,57,A,4,9752,0.1044761142898318
1248314,58,A#,4,9752,0.130208890976805
1248318,62,D,5,9752,0.10696736875693982
1248319,63,D#,5,9752,0.11790535416433234
1248320,64,E,5,9752,0.11623156533685207
1248321,65,F,5,9752,0.12316575427089368
1248322,66,F#,5,9752,0.10581602611356504
1248328,72,C,6,9752,0.15509859408601584
1248329,73,C#,6,9752,0.7387910675356497
1248330,74,D,6,9752,0.6447724625199716
1248331,75,D#,6,9752,0.15650571018337497
1248341,85,C#,7,9752,0.16198901694738804
1248342,86,D,7,9752,0.13648376637837378
1248348,92,G#,7,9752,0.26602923237082116
1248349,93,A,7,9752,0.2720359214944733
1248420,36,C,3,9753,0.10503399051761696
1248421,37,C#,3,9753,0.10617187579836912
1248422,38,D,3,9753,0.15636744213207426
1248423,39,D#,3,9753,0.1981760339892408
1248424,40,E,3,9753,0.2256805840657733
1248425,41,F,3,9753,0.22404079078135222
1248426,42,F#,3,9753,0.23559265708245863
1248427,43,G,3,9753,0.24310449546265453
1248428,44,G#,3,9753,0.2119424863799582
1248429,45,A,3,9753,0.17375376471815115
1248430,46,A#,3,9753,0.16259591226353232
1248431,47,B,3,9753,0.11269606890147373
1248433,49,C#,4,9753,0.1259366024685474
1248434,50,D,4,9753,0.20375552677571515
1248435,51,D#,4,9753,0.1569341645966188
1248436,52,E,4,9753,0.11438843753994195
1248437,53,F,4,9753,0.23214370134364473
1248438,54,F#,4,9753,0.27658632000253297
1248439,55,G,4,9753,0.2715889736149383
1248440,56,G#,4,9753,0.2390080882584955
1248441,57,A,4,9753,0.23320168803001376
1248442,58,A#,4,9753,0.23592384687030082
1248443,59,B,4,9753,0.2314361977929266
1248444,60,C,5,9753,0.21312312674174616
1248445,61,C#,5,9753,0.175456536828447
1248447,63,D#,5,9753,0.2485786052370733
1248448,64,E,5,9753,0.32693192618532385
1248449,65,F,5,9753,0.20172012884304916
1248453,69,A,5,9753,0.10791085067310578
1248454,70,A#,5,9753,0.15515764554273903
1248455,71,B,5,9753,0.2543999686965857
1248456,72,C,6,9753,0.7659061972363935
1248457,73,C#,6,9753,1.1662836945441748
1248458,74,D,6,9753,0.5796862635352235
1248460,76,E,6,9753,0.28843838221403134
1248461,77,F,6,9753,0.19242420938828045
1248469,85,C#,7,9753,0.12351611667697146
1248476,92,G#,7,9753,0.23335623258806534
1248477,93,A,7,9753,0.18891182570333215
1248481,97,C#,8,9753,0.13444380364316144
1248482,98,D,8,9753,0.10552169501259652
1248549,37,C#,3,9754,0.11187282427590027
1248550,38,D,3,9754,0.15671749903865087
1248551,39,D#,3,9754,0.17894239314750252
1248552,40,E,3,9754,0.21869923849968367
1248553,41,F,3,9754,0.2566492314047809
1248554,42,F#,3,9754,0.27219177743978284
1248555,43,G,3,9754,0.2719887808298097
1248556,44,G#,3,9754,0.245687314541184
1248557,45,A,3,9754,0.20222926109432499
1248558,46,A#,3,9754,0.16219277048314493
1248559,47,B,3,9754,0.12245205513757229
1248561,49,C#,4,9754,0.16082798502381748
1248562,50,D,4,9754,0.19953264178386648
1248563,51,D#,4,9754,0.12094906232889394
1248565,53,F,4,9754,0.15503204023782252
1248566,54,F#,4,9754,0.14068118775738128
1248567,55,G,4,9754,0.15540602708255108
1248568,56,G#,4,9754,0.23505292480020457
1248569,57,A,4,9754,0.15300878456994854
1248570,58,A#,4,9754,0.14832393997677898
1248571,59,B,4,9754,0.18001921200376184
1248572,60,C,5,9754,0.1855001794073342
1248575,63,D#,5,9754,0.2522081442163546
1248576,64,E,5,9754,0.21392502292967275
1248579,67,G,5,9754,0.12051567249112875
1248583,71,B,5,9754,0.15713986927366524
1248584,72,C,6,9754,0.7803408188722488
1248585,73,C#,6,9754,0.7224455128591909
1248586,74,D,6,9754,0.3331331494529753
1248587,75,D#,6,9754,0.25152627864532795
1248596,84,C,7,9754,0.15240873301324662
1248597,85,C#,7,9754,0.2080403351862362
1248603,91,G,7,9754,0.27772569012151077
1248604,92,G#,7,9754,0.22356263659778822
1248609,97,C#,8,9754,0.10661914424558212
1248677,37,C#,3,9755,0.10219464658014446
