,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,octave,note_value,note_value_nmd,note_name,angle
146,9.0,,,,40.0,,,,,4,note_on,,112.0,40.0,112.0,6720,17.5,192,3.0,4.0,4,E,120
8326,7.0,,,,83.0,,,,,8,note_on,,112.0,83.0,112.0,6728,17.520833333333332,192,6.0,11.0,5,F,330
3643,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,6816,17.75,192,4.0,11.0,5,F,330
3644,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,6816,17.75,192,4.0,7.0,1,C#,210
3645,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6816,17.75,192,5.0,2.0,2,D,60
148,9.0,,,,36.0,,,,,52,note_on,,112.0,36.0,112.0,6816,17.75,192,3.0,0.0,0,C,0
8328,7.0,,,,79.0,,,,,8,note_on,,112.0,79.0,112.0,6824,17.770833333333332,192,6.0,7.0,1,C#,210
3649,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,6912,18.0,192,4.0,7.0,1,C#,210
3651,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,6912,18.0,192,4.0,11.0,5,F,330
150,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6912,18.0,192,3.0,6.0,6,F#,180
151,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,6912,18.0,192,2.0,11.0,5,F,330
3650,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,6912,18.0,192,5.0,2.0,2,D,60
3655,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,7008,18.25,192,5.0,2.0,2,D,60
3656,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,7008,18.25,192,4.0,7.0,1,C#,210
3657,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,7008,18.25,192,4.0,11.0,5,F,330
154,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7008,18.25,192,3.0,6.0,6,F#,180
156,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,7104,18.5,192,4.0,3.0,9,A,90
157,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7104,18.5,192,3.0,6.0,6,F#,180
10428,8.0,,,,71.0,,,,,868,note_on,,88.0,71.0,88.0,7104,18.5,192,5.0,11.0,5,F,330
158,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,7104,18.5,192,3.0,4.0,4,E,120
3661,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,7104,18.5,192,4.0,7.0,1,C#,210
10050,3.0,,,,71.0,,,,,868,note_on,,88.0,71.0,88.0,7104,18.5,192,5.0,11.0,5,F,330
3662,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,7104,18.5,192,4.0,11.0,5,F,330
