,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
2352,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,38400,40.0,480,4.0_10.0,Electric Bass (pick),3.0,4.0,4,E,120
3490,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,38880,40.5,480,9.0_10.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3489,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,38880,40.5,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2354,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,39120,40.75,480,4.0_10.0,Electric Bass (pick),3.0,4.0,4,E,120
2356,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,39360,41.0,480,4.0_10.0,Electric Bass (pick),3.0,7.0,1,C#,210
3493,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,39360,41.0,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3494,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,39360,41.0,480,9.0_10.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2358,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,39720,41.375,480,4.0_10.0,Electric Bass (pick),3.0,4.0,4,E,120
3498,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,39840,41.5,480,9.0_10.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3497,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,39840,41.5,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2360,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,40080,41.75,480,4.0_10.0,Electric Bass (pick),3.0,2.0,2,D,60
2362,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,40320,42.0,480,4.0_10.0,Electric Bass (pick),3.0,0.0,0,C,0
3501,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,40320,42.0,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3502,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,40320,42.0,480,9.0_10.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3505,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,40800,42.5,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3506,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,40800,42.5,480,9.0_10.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3510,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,41280,43.0,480,9.0_10.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3509,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,41280,43.0,480,9.0_10.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
