,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
288,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1355,1.4114583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
482,0.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,1405,1.4635416666666667,480,0.0_0.0,Flute,5.0,7.0,1,C#,210
851,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1430,1.4895833333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
837,14.0,,,,,,,,,,,,43.0,,,,,,,0,note_on,,60.0,43.0,60.0,1430,1.4895833333333333,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
838,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1430,1.4895833333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
862,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,1430,1.4895833333333333,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
802,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,1430,1.4895833333333333,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
290,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1435,1.4947916666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
486,0.0,,,,,,,,,,,,64.0,,,,,,,0,note_on,,60.0,64.0,60.0,1445,1.5052083333333333,480,0.0_0.0,Flute,5.0,4.0,4,E,120
295,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,1475,1.5364583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
491,0.0,,,,,,,,,,,,65.0,,,,,,,0,note_on,,60.0,65.0,60.0,1475,1.5364583333333333,480,0.0_0.0,Flute,5.0,5.0,11,B,150
314,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,1490,1.5520833333333333,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
315,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,1490,1.5520833333333333,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
496,0.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,1515,1.578125,480,0.0_0.0,Flute,5.0,7.0,1,C#,210
297,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1555,1.6197916666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
522,0.0,,,,,,,,,,,,65.0,,,,,,,15,note_on,,60.0,65.0,60.0,1595,1.6614583333333333,480,0.0_0.0,Flute,5.0,5.0,11,B,150
299,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1635,1.703125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
526,0.0,,,,,,,,,,,,64.0,,,,,,,0,note_on,,60.0,64.0,60.0,1635,1.703125,480,0.0_0.0,Flute,5.0,4.0,4,E,120
531,0.0,,,,,,,,,,,,62.0,,,,,,,0,note_on,,60.0,62.0,60.0,1665,1.734375,480,0.0_0.0,Flute,5.0,2.0,2,D,60
304,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,1675,1.7447916666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
536,0.0,,,,,,,,,,,,64.0,,,,,,,0,note_on,,60.0,64.0,60.0,1705,1.7760416666666667,480,0.0_0.0,Flute,5.0,4.0,4,E,120
308,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1755,1.828125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
542,0.0,,,,,,,,,,,,65.0,,,,,,,0,note_on,,60.0,65.0,60.0,1785,1.859375,480,0.0_0.0,Flute,5.0,5.0,11,B,150
546,0.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,1825,1.9010416666666667,480,0.0_0.0,Flute,5.0,7.0,1,C#,210
310,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1835,1.9114583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
334,13.0,,,,,,,,,,,,55.0,,,,,,,200,note_on,,60.0,55.0,60.0,1850,1.9270833333333333,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
551,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,1855,1.9322916666666667,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
556,0.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,1895,1.9739583333333333,480,0.0_0.0,Flute,5.0,7.0,1,C#,210
312,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1915,1.9947916666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
316,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,1955,2.0364583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
592,0.0,,,,,,,,,,,,69.0,,,,,,,15,note_on,,60.0,69.0,60.0,1975,2.0572916666666665,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
596,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,2015,2.0989583333333335,480,0.0_0.0,Flute,5.0,11.0,5,F,330
320,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2035,2.1197916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
601,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,2045,2.1302083333333335,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
347,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,2050,2.1354166666666665,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
346,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,2050,2.1354166666666665,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
606,0.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,2085,2.171875,480,0.0_0.0,Flute,5.0,7.0,1,C#,210
322,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2115,2.203125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
612,0.0,,,,,,,,,,,,65.0,,,,,,,0,note_on,,60.0,65.0,60.0,2165,2.2552083333333335,480,0.0_0.0,Flute,5.0,5.0,11,B,150
324,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2195,2.2864583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
616,0.0,,,,,,,,,,,,64.0,,,,,,,0,note_on,,60.0,64.0,60.0,2205,2.296875,480,0.0_0.0,Flute,5.0,4.0,4,E,120
377,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,2210,2.3020833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
328,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,2235,2.328125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
620,0.0,,,,,,,,,,,,62.0,,,,,,,0,note_on,,60.0,62.0,60.0,2285,2.3802083333333335,480,0.0_0.0,Flute,5.0,2.0,2,D,60
332,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2315,2.4114583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
336,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,2355,2.453125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
622,0.0,,,,,,,,,,,,64.0,,,,,,,0,note_on,,60.0,64.0,60.0,2405,2.5052083333333335,480,0.0_0.0,Flute,5.0,4.0,4,E,120
390,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,2410,2.5104166666666665,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
389,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,2410,2.5104166666666665,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
340,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2435,2.5364583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
628,0.0,,,,,,,,,,,,62.0,,,,,,,0,note_on,,60.0,62.0,60.0,2485,2.5885416666666665,480,0.0_0.0,Flute,5.0,2.0,2,D,60
342,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2515,2.6197916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
632,0.0,,,,,,,,,,,,60.0,,,,,,,0,note_on,,60.0,60.0,60.0,2525,2.6302083333333335,480,0.0_0.0,Flute,5.0,0.0,0,C,0
646,0.0,,,,,,,,,,,,60.0,,,,,,,30,note_on,,60.0,60.0,60.0,2565,2.671875,480,0.0_0.0,Flute,5.0,0.0,0,C,0
442,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,2570,2.6770833333333335,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
423,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,2570,2.6770833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
441,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,2570,2.6770833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
344,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2595,2.703125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
651,0.0,,,,,,,,,,,,62.0,,,,,,,0,note_on,,60.0,62.0,60.0,2595,2.703125,480,0.0_0.0,Flute,5.0,2.0,2,D,60
348,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,2635,2.7447916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
656,0.0,,,,,,,,,,,,64.0,,,,,,,0,note_on,,60.0,64.0,60.0,2635,2.7447916666666665,480,0.0_0.0,Flute,5.0,4.0,4,E,120
668,0.0,,,,,,,,,,,,65.0,,,,,,,10,note_on,,60.0,65.0,60.0,2675,2.7864583333333335,480,0.0_0.0,Flute,5.0,5.0,11,B,150
