,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
221,2.0,,,,,,,45.0,,,,26,note_on,,103.0,45.0,103.0,1806,2.3515625,384,2.0_0.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
311,9.0,,,,,,,44.0,,,,338,note_on,,92.0,44.0,92.0,1808,2.3541666666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
323,9.0,,,,,,,39.0,,,,12,note_on,,90.0,39.0,90.0,1824,2.375,384,9.0_0.0,Violin,3.0,3.0,9,A,90
198,1.0,,,,,,,48.0,,,,26,note_on,,109.0,48.0,109.0,1866,2.4296875,384,1.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
202,1.0,,,,,,,50.0,,,,42,note_on,,111.0,50.0,111.0,1908,2.484375,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
208,1.0,,,,,,,52.0,,,,4,note_on,,110.0,52.0,110.0,1914,2.4921875,384,1.0_0.0,Acoustic Bass,4.0,4.0,4,E,120
214,1.0,,,,,,,48.0,,,,2,note_on,,97.0,48.0,97.0,1926,2.5078125,384,1.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
340,9.0,,,,,,,44.0,,,,136,note_on,,108.0,44.0,108.0,1964,2.5572916666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
219,1.0,,,,,,,50.0,,,,4,note_on,,111.0,50.0,111.0,2014,2.622395833333333,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
223,1.0,,,,,,,45.0,,,,24,note_on,,101.0,45.0,101.0,2052,2.671875,384,1.0_0.0,Acoustic Bass,3.0,9.0,3,D#,270
268,1.0,,,,,,,38.0,,,,52,note_on,,127.0,38.0,127.0,2114,2.7526041666666665,384,1.0_0.0,Acoustic Bass,3.0,2.0,2,D,60
