,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
8747,5.0,,,,,,,76.0,,,,0,note_on,,77.0,76.0,77.0,10803,45.0125,120,5.0_11.0,Electric Guitar (jazz)
8748,5.0,,,,,,,76.0,,,,60,note_on,,0.0,76.0,0.0,10863,45.2625,120,5.0_11.0,Electric Guitar (jazz)
8749,5.0,,,,,,,69.0,,,,0,note_on,,77.0,69.0,77.0,10863,45.2625,120,5.0_11.0,Electric Guitar (jazz)
8750,5.0,,,,,,,69.0,,,,60,note_on,,0.0,69.0,0.0,10923,45.5125,120,5.0_11.0,Electric Guitar (jazz)
8751,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,10923,45.5125,120,5.0_11.0,Electric Guitar (jazz)
8752,5.0,,,,,,,72.0,,,,60,note_on,,0.0,72.0,0.0,10983,45.7625,120,5.0_11.0,Electric Guitar (jazz)
8753,5.0,,,,,,,69.0,,,,0,note_on,,77.0,69.0,77.0,10983,45.7625,120,5.0_11.0,Electric Guitar (jazz)
8754,5.0,,,,,,,69.0,,,,180,note_on,,0.0,69.0,0.0,11163,46.5125,120,5.0_11.0,Electric Guitar (jazz)
8755,5.0,,,,,,,57.0,,,,0,note_on,,0.0,57.0,0.0,11163,46.5125,120,5.0_11.0,Electric Guitar (jazz)
8756,5.0,,,,,,,65.0,,,,5760,note_on,,100.0,65.0,100.0,16923,70.5125,120,5.0_17.0,Electric Guitar (jazz)
8757,5.0,,,,,,,77.0,,,,0,note_on,,77.0,77.0,77.0,16923,70.5125,120,5.0_17.0,Electric Guitar (jazz)
8758,5.0,,,,,,,77.0,,,,60,note_on,,0.0,77.0,0.0,16983,70.7625,120,5.0_17.0,Electric Guitar (jazz)
8759,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,16983,70.7625,120,5.0_17.0,Electric Guitar (jazz)
8760,5.0,,,,,,,72.0,,,,60,note_on,,0.0,72.0,0.0,17043,71.0125,120,5.0_17.0,Electric Guitar (jazz)
8761,5.0,,,,,,,76.0,,,,0,note_on,,77.0,76.0,77.0,17043,71.0125,120,5.0_17.0,Electric Guitar (jazz)
8762,5.0,,,,,,,76.0,,,,60,note_on,,0.0,76.0,0.0,17103,71.2625,120,5.0_17.0,Electric Guitar (jazz)
8763,5.0,,,,,,,81.0,,,,0,note_on,,77.0,81.0,77.0,17103,71.2625,120,5.0_17.0,Electric Guitar (jazz)
