,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
476,1.0,,,,,,,38.0,,,,114,note_off,,125.0,38.0,125.0,3896,5.072916666666666,384,1.0_1.0,Acoustic Bass
477,9.0,,,,,,,44.0,,,,2,note_on,,101.0,44.0,101.0,3628,4.723958333333333,384,9.0_1.0,Violin
478,9.0,,,,,,,44.0,,,,4,note_off,,101.0,44.0,101.0,3632,4.729166666666666,384,9.0_1.0,Violin
479,2.0,,,,,,,45.0,,,,6,note_on,,106.0,45.0,106.0,6426,8.3671875,384,2.0_2.0,Acoustic Grand Piano
480,1.0,,,,,,,45.0,,,,2,note_on,,104.0,45.0,104.0,3898,5.075520833333333,384,1.0_1.0,Acoustic Bass
481,2.0,,,,,,,38.0,,,,12,note_off,,109.0,38.0,109.0,6438,8.3828125,384,2.0_2.0,Acoustic Grand Piano
482,2.0,,,,,,,45.0,,,,188,note_off,,106.0,45.0,106.0,6626,8.627604166666666,384,2.0_2.0,Acoustic Grand Piano
483,1.0,,,,,,,45.0,,,,2,note_off,,104.0,45.0,104.0,3900,5.078125,384,1.0_1.0,Acoustic Bass
484,2.0,,,,,,,47.0,,,,24,note_on,,98.0,47.0,98.0,6650,8.658854166666666,384,2.0_2.0,Acoustic Grand Piano
485,1.0,,,,,,,47.0,,,,4,note_on,,106.0,47.0,106.0,3904,5.083333333333333,384,1.0_1.0,Acoustic Bass
486,1.0,,,,,,,47.0,,,,126,note_off,,106.0,47.0,106.0,4030,5.247395833333333,384,1.0_1.0,Acoustic Bass
487,2.0,,,,,,,48.0,,,,22,note_on,,99.0,48.0,99.0,6672,8.6875,384,2.0_2.0,Acoustic Grand Piano
488,1.0,,,,,,,48.0,,,,4,note_on,,106.0,48.0,106.0,4034,5.252604166666666,384,1.0_1.0,Acoustic Bass
489,2.0,,,,,,,47.0,,,,22,note_off,,98.0,47.0,98.0,6694,8.716145833333332,384,2.0_2.0,Acoustic Grand Piano
490,2.0,,,,,,,48.0,,,,162,note_off,,99.0,48.0,99.0,6856,8.927083333333332,384,2.0_2.0,Acoustic Grand Piano
491,2.0,,,,,,,50.0,,,,26,note_on,,94.0,50.0,94.0,6882,8.9609375,384,2.0_2.0,Acoustic Grand Piano
492,1.0,,,,,,,50.0,,,,6,note_on,,114.0,50.0,114.0,4040,5.260416666666666,384,1.0_1.0,Acoustic Bass
493,1.0,,,,,,,48.0,,,,24,note_off,,106.0,48.0,106.0,4064,5.291666666666666,384,1.0_1.0,Acoustic Bass
494,2.0,,,,,,,52.0,,,,124,note_on,,91.0,52.0,91.0,7006,9.122395833333332,384,2.0_2.0,Acoustic Grand Piano
495,1.0,,,,,,,52.0,,,,6,note_on,,106.0,52.0,106.0,4070,5.299479166666666,384,1.0_1.0,Acoustic Bass
496,2.0,,,,,,,50.0,,,,8,note_off,,94.0,50.0,94.0,7014,9.1328125,384,2.0_2.0,Acoustic Grand Piano
497,1.0,,,,,,,50.0,,,,4,note_off,,114.0,50.0,114.0,4074,5.3046875,384,1.0_1.0,Acoustic Bass
498,9.0,,,,,,,44.0,,,,24,note_on,,97.0,44.0,97.0,3656,4.760416666666666,384,9.0_1.0,Violin
499,9.0,,,,,,,44.0,,,,4,note_off,,97.0,44.0,97.0,3660,4.765625,384,9.0_1.0,Violin
500,1.0,,,,,,,52.0,,,,150,note_off,,106.0,52.0,106.0,4224,5.5,384,1.0_1.0,Acoustic Bass
501,1.0,,,,,,,48.0,,,,26,note_on,,95.0,48.0,95.0,4250,5.533854166666666,384,1.0_1.0,Acoustic Bass
502,2.0,,,,,,,52.0,,,,18,note_off,,91.0,52.0,91.0,7032,9.15625,384,2.0_2.0,Acoustic Grand Piano
503,2.0,,,,,,,48.0,,,,4,note_on,,102.0,48.0,102.0,7036,9.161458333333332,384,2.0_2.0,Acoustic Grand Piano
504,9.0,,,,,,,46.0,,,,16,note_on,,83.0,46.0,83.0,3676,4.786458333333333,384,9.0_1.0,Violin
505,9.0,,,,,,,46.0,,,,4,note_off,,83.0,46.0,83.0,3680,4.791666666666666,384,9.0_1.0,Violin
506,1.0,,,,,,,48.0,,,,84,note_off,,95.0,48.0,95.0,4334,5.643229166666666,384,1.0_1.0,Acoustic Bass
507,1.0,,,,,,,50.0,,,,28,note_on,,104.0,50.0,104.0,4362,5.6796875,384,1.0_1.0,Acoustic Bass
508,2.0,,,,,,,48.0,,,,20,note_off,,102.0,48.0,102.0,7056,9.1875,384,2.0_2.0,Acoustic Grand Piano
509,2.0,,,,,,,50.0,,,,14,note_on,,107.0,50.0,107.0,7070,9.205729166666666,384,2.0_2.0,Acoustic Grand Piano
510,2.0,,,,,,,50.0,,,,148,note_off,,107.0,50.0,107.0,7218,9.3984375,384,2.0_2.0,Acoustic Grand Piano
511,1.0,,,,,,,50.0,,,,6,note_off,,104.0,50.0,104.0,4368,5.6875,384,1.0_1.0,Acoustic Bass
512,1.0,,,,,,,45.0,,,,52,note_on,,102.0,45.0,102.0,4420,5.755208333333333,384,1.0_1.0,Acoustic Bass
513,2.0,,,,,,,45.0,,,,32,note_on,,101.0,45.0,101.0,7250,9.440104166666666,384,2.0_2.0,Acoustic Grand Piano
514,9.0,,,,,,,44.0,,,,164,note_on,,92.0,44.0,92.0,3844,5.005208333333333,384,9.0_1.0,Violin
515,9.0,,,,,,,44.0,,,,4,note_off,,92.0,44.0,92.0,3848,5.010416666666666,384,9.0_1.0,Violin
516,9.0,,,,,,,46.0,,,,186,note_on,,74.0,46.0,74.0,4034,5.252604166666666,384,9.0_1.0,Violin
517,9.0,,,,,,,46.0,,,,4,note_off,,74.0,46.0,74.0,4038,5.2578125,384,9.0_1.0,Violin
518,4.0,,,,,,,67.0,,,,148,note_on,,118.0,67.0,118.0,704,0.9166666666666666,384,4.0_0.0,Alto Sax
519,2.0,,,,,,,67.0,,,,16,note_on,,104.0,67.0,104.0,7266,9.4609375,384,2.0_2.0,Acoustic Grand Piano
520,2.0,,,,,,,52.0,,,,2,note_on,,101.0,52.0,101.0,7268,9.463541666666666,384,2.0_2.0,Acoustic Grand Piano
521,2.0,,,,,,,62.0,,,,0,note_on,,104.0,62.0,104.0,7268,9.463541666666666,384,2.0_2.0,Acoustic Grand Piano
