,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
147,11.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,0.0,,,,20,0.020833333333333332,480,11.0_0.0,Pizzicato Strings
148,11.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,11.0_0.0,Pizzicato Strings
149,11.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,11.0_0.0,Pizzicato Strings
150,11.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,25,0.026041666666666668,480,11.0_0.0,Pizzicato Strings
151,12.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,12.0_0.0,Pizzicato Strings
152,12.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,12.0_0.0,Pizzicato Strings
153,12.0,,,,,,,,,,,,,,45.0,,,,,5,program_change,,,,,15,0.015625,480,12.0_0.0,Pizzicato Strings
154,12.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,12.0_0.0,Pizzicato Strings
155,12.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,30.0,,,,20,0.020833333333333332,480,12.0_0.0,Pizzicato Strings
156,12.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,12.0_0.0,Pizzicato Strings
157,12.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,12.0_0.0,Pizzicato Strings
158,12.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,25,0.026041666666666668,480,12.0_0.0,Pizzicato Strings
159,13.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,13.0_0.0,Pizzicato Strings
160,13.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,13.0_0.0,Pizzicato Strings
161,13.0,,,,,,,,,,,,,,45.0,,,,,5,program_change,,,,,15,0.015625,480,13.0_0.0,Pizzicato Strings
162,13.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,13.0_0.0,Pizzicato Strings
163,13.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,20,0.020833333333333332,480,13.0_0.0,Pizzicato Strings
164,13.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,13.0_0.0,Pizzicato Strings
165,13.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,13.0_0.0,Pizzicato Strings
166,13.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,25,0.026041666666666668,480,13.0_0.0,Pizzicato Strings
167,14.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,14.0_0.0,Pizzicato Strings
168,14.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,14.0_0.0,Pizzicato Strings
169,14.0,,,,,,,,,,,,,,45.0,,,,,5,program_change,,,,,15,0.015625,480,14.0_0.0,Pizzicato Strings
170,14.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,14.0_0.0,Pizzicato Strings
171,14.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,90.0,,,,20,0.020833333333333332,480,14.0_0.0,Pizzicato Strings
172,14.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,14.0_0.0,Pizzicato Strings
173,14.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,14.0_0.0,Pizzicato Strings
174,14.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,25,0.026041666666666668,480,14.0_0.0,Pizzicato Strings
175,15.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,15.0_0.0,Pizzicato Strings
176,15.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,15.0_0.0,Pizzicato Strings
177,15.0,,,,,,,,,,,,,,45.0,,,,,5,program_change,,,,,15,0.015625,480,15.0_0.0,Pizzicato Strings
178,15.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,60.0,,,,20,0.020833333333333332,480,15.0_0.0,Pizzicato Strings
179,15.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,127.0,,,,20,0.020833333333333332,480,15.0_0.0,Pizzicato Strings
180,15.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,15.0_0.0,Pizzicato Strings
181,15.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,15.0_0.0,Pizzicato Strings
